TANGGAL		IMSAK	SUBUH	TERBIT	DUHA	ZUHUR	ASAR	MAGRIB	ISYA
Sabtu, 05/11/2022		04:24	04:34	05:48	06:16	11:59	15:18	18:02	19:13
Minggu, 06/11/2022		04:24	04:34	05:48	06:16	11:59	15:19	18:02	19:13
Senin, 07/11/2022		04:24	04:34	05:48	06:16	11:59	15:19	18:02	19:13
Selasa, 08/11/2022		04:23	04:33	05:48	06:16	11:59	15:19	18:03	19:14
Rabu, 09/11/2022		04:23	04:33	05:48	06:16	11:59	15:20	18:03	19:14
Kamis, 10/11/2022		04:23	04:33	05:48	06:16	11:59	15:20	18:03	19:14
Jumat, 11/11/2022		04:23	04:33	05:48	06:16	11:59	15:20	18:03	19:14
Sabtu, 12/11/2022		04:23	04:33	05:48	06:16	11:59	15:21	18:03	19:15
Minggu, 13/11/2022		04:23	04:33	05:48	06:16	11:59	15:21	18:03	19:15
Senin, 14/11/2022		04:23	04:33	05:48	06:17	11:59	15:21	18:03	19:15
Selasa, 15/11/2022		04:23	04:33	05:49	06:17	12:00	15:22	18:03	19:15
Rabu, 16/11/2022		04:23	04:33	05:49	06:17	12:00	15:22	18:04	19:16
Kamis, 17/11/2022		04:23	04:33	05:49	06:17	12:00	15:22	18:04	19:16
Jumat, 18/11/2022		04:23	04:33	05:49	06:17	12:00	15:23	18:04	19:16
Sabtu, 19/11/2022		04:23	04:33	05:49	06:18	12:00	15:23	18:04	19:17
Minggu, 20/11/2022		04:24	04:34	05:50	06:18	12:01	15:23	18:05	19:17
Senin, 21/11/2022		04:24	04:34	05:50	06:18	12:01	15:24	18:05	19:17
Selasa, 22/11/2022		04:24	04:34	05:50	06:18	12:01	15:24	18:05	19:18
Rabu, 23/11/2022		04:24	04:34	05:50	06:19	12:01	15:25	18:05	19:18
Kamis, 24/11/2022		04:24	04:34	05:50	06:19	12:02	15:25	18:06	19:19
Jumat, 25/11/2022		04:24	04:34	05:51	06:19	12:02	15:25	18:06	19:19
Sabtu, 26/11/2022		04:24	04:34	05:51	06:20	12:02	15:26	18:06	19:19
Minggu, 27/11/2022		04:25	04:35	05:51	06:20	12:03	15:26	18:07	19:20
Senin, 28/11/2022		04:25	04:35	05:52	06:20	12:03	15:27	18:07	19:20
Selasa, 29/11/2022		04:25	04:35	05:52	06:21	12:03	15:27	18:07	19:21
Rabu, 30/11/2022		04:25	04:35	05:52	06:21	12:04	15:28	18:08	19:21
Kamis, 01/12/2022		04:25	04:35	05:53	06:21	12:04	15:28	18:08	19:22
Jumat, 02/12/2022		04:26	04:36	05:53	06:22	12:04	15:28	18:08	19:22
Sabtu, 03/12/2022		04:26	04:36	05:53	06:22	12:05	15:29	18:09	19:23
Minggu, 04/12/2022		04:26	04:36	05:54	06:23	12:05	15:29	18:09	19:23
Senin, 05/12/2022		04:27	04:37	05:54	06:23	12:05	15:30	18:10	19:24
Selasa, 06/12/2022		04:27	04:37	05:55	06:23	12:06	15:30	18:10	19:24
Rabu, 07/12/2022		04:27	04:37	05:55	06:24	12:06	15:31	18:11	19:25
Kamis, 08/12/2022		04:28	04:38	05:55	06:24	12:07	15:31	18:11	19:25
Jumat, 09/12/2022		04:28	04:38	05:56	06:25	12:07	15:32	18:11	19:26
Sabtu, 10/12/2022		04:28	04:38	05:56	06:25	12:08	15:32	18:12	19:26
Minggu, 11/12/2022		04:29	04:39	05:57	06:26	12:08	15:33	18:12	19:27
Senin, 12/12/2022		04:29	04:39	05:57	06:26	12:09	15:33	18:13	19:27
Selasa, 13/12/2022		04:30	04:40	05:58	06:27	12:09	15:34	18:13	19:28
Rabu, 14/12/2022		04:30	04:40	05:58	06:27	12:09	15:34	18:14	19:28
Kamis, 15/12/2022		04:30	04:40	05:59	06:28	12:10	15:35	18:14	19:29
Jumat, 16/12/2022		04:31	04:41	05:59	06:28	12:10	15:35	18:15	19:29
Sabtu, 17/12/2022		04:31	04:41	06:00	06:29	12:11	15:36	18:15	19:30
Minggu, 18/12/2022		04:32	04:42	06:00	06:29	12:11	15:36	18:16	19:30
Senin, 19/12/2022		04:32	04:42	06:01	06:30	12:12	15:37	18:16	19:31
Selasa, 20/12/2022		04:33	04:43	06:01	06:30	12:12	15:37	18:17	19:31
Rabu, 21/12/2022		04:33	04:43	06:02	06:31	12:13	15:38	18:17	19:32
Kamis, 22/12/2022		04:34	04:44	06:02	06:31	12:13	15:38	18:18	19:32
Jumat, 23/12/2022		04:34	04:44	06:03	06:32	12:14	15:39	18:18	19:33
Sabtu, 24/12/2022		04:35	04:45	06:03	06:32	12:14	15:39	18:19	19:33
Minggu, 25/12/2022		04:35	04:45	06:04	06:33	12:15	15:40	18:19	19:34
Senin, 26/12/2022		04:36	04:46	06:04	06:33	12:15	15:40	18:20	19:34
Selasa, 27/12/2022		04:36	04:46	06:05	06:34	12:16	15:41	18:20	19:35
Rabu, 28/12/2022		04:37	04:47	06:05	06:34	12:16	15:41	18:21	19:35
Kamis, 29/12/2022		04:37	04:47	06:06	06:34	12:17	15:42	18:21	19:36
Jumat, 30/12/2022		04:38	04:48	06:06	06:35	12:17	15:42	18:22	19:36
Sabtu, 31/12/2022		04:38	04:48	06:06	06:35	12:18	15:43	18:22	19:36
